A	{'Частота': 6}
B	{'Частота': 6}
скоринг	{'Частота': 5}
розенблатт	{'Частота': 5}
PCA	{'Частота': 5}
перцептрон	{'Частота': 4}
P	{'Частота': 4}
ML	{'Частота': 3}
Mark	{'Частота': 3}
I	{'Частота': 3}
SVM	{'Частота': 3}
бэггинг	{'Частота': 3}
бустинг	{'Частота': 3}
ICA	{'Частота': 3}
финтех	{'Частота': 3}
Google	{'Частота': 2}
информатизация	{'Частота': 2}
домингос	{'Частота': 2}
Perceptron	{'Частота': 2}
папирать	{'Частота': 2}
слабоструктурированный	{'Частота': 2}
байес	{'Частота': 2}
N	{'Частота': 2}
гиперплоскость	{'Частота': 2}
SVD	{'Частота': 2}
M	{'Частота': 2}
Kabbage	{'Частота': 2}
Dataminr	{'Частота': 2}
фгбоу	{'Частота': 1}
кубга	{'Частота': 1}
занчко	{'Частота': 1}
нормоконтролер	{'Частота': 1}
Baidu	{'Частота': 1}
Facebook	{'Частота': 1}
iPhone	{'Частота': 1}
X	{'Частота': 1}
категоризация	{'Частота': 1}
Machine	{'Частота': 1}
Learning	{'Частота': 1}
deep	{'Частота': 1}
leаrning	{'Частота': 1}
вейцбаум	{'Частота': 1}
Checkers	{'Частота': 1}
playing	{'Частота': 1}
TeX	{'Частота': 1}
ELIZA	{'Частота': 1}
нейрокомпьютер	{'Частота': 1}
Tobermory	{'Частота': 1}
XXI	{'Частота': 1}
MapReduce	{'Частота': 1}
Hadoop	{'Частота': 1}
Nvidia	{'Частота': 1}
GPU	{'Частота': 1}
AMD	{'Частота': 1}
ATI	{'Частота': 1}
NoSQL	{'Частота': 1}
Apache	{'Частота': 1}
Spark	{'Частота': 1}
PR	{'Частота': 1}
перцепрон	{'Частота': 1}
ивахненко	{'Частота': 1}
кунихик	{'Частота': 1}
фукусима	{'Частота': 1}
сверточный	{'Частота': 1}
неокогнитрон	{'Частота': 1}
Deep	{'Частота': 1}
Neural	{'Частота': 1}
Network	{'Частота': 1}
DNN	{'Частота': 1}
сплайсинг	{'Частота': 1}
bagging	{'Частота': 1}
boosting	{'Частота': 1}
биоинформатика	{'Частота': 1}
уорда	{'Частота': 1}
m	{'Частота': 1}
n	{'Частота': 1}
UΣV	{'Частота': 1}
U	{'Частота': 1}
V	{'Частота': 1}
Σ	{'Частота': 1}
негауссовский	{'Частота': 1}
Inc	{'Частота': 1}
микрокредитование	{'Частота': 1}
LendUp	{'Частота': 1}
Lending	{'Частота': 1}
Club	{'Частота': 1}
AdaBoost	{'Частота': 1}
Adaptive	{'Частота': 1}
Boosting	{'Частота': 1}
квантизация	{'Частота': 1}
Affirm	{'Частота': 1}
BillGuard	{'Частота': 1}
ZestFinance	{'Частота': 1}
AlphaSense	{'Частота': 1}
Twitter	{'Частота': 1}
млн	{'Частота': 1}
твитов	{'Частота': 1}
IBM	{'Частота': 1}
стартап	{'Частота': 1}
EyeVerify	{'Частота': 1}
селфи	{'Частота': 1}
Eyeprint	{'Частота': 1}
ID	{'Частота': 1}
Feedzai	{'Частота': 1}
фрод	{'Частота': 1}
предиктивный	{'Частота': 1}
KFL	{'Частота': 1}
Capital	{'Частота': 1}
Management	{'Частота': 1}
Ltd	{'Частота': 1}
Binatix	{'Частота': 1}
bluetooth	{'Частота': 1}
дрон	{'Частота': 1}
фербер	{'Частота': 1}
флах	{'Частота': 1}
ДМК	{'Частота': 1}
бринк	{'Частота': 1}
феверолф	{'Частота': 1}
