наукометрия	{'Частота': 5}
импакт	{'Частота': 5}
наукометрический	{'Частота': 4}
цитируемость	{'Частота': 3}
квантиль	{'Частота': 2}
хирша	{'Частота': 2}
исследованый	{'Частота': 1}
импак	{'Частота': 1}
Nature	{'Частота': 1}
Science	{'Частота': 1}
SNIP	{'Частота': 1}
расчитываться	{'Частота': 1}
квантить	{'Частота': 1}
процентиль	{'Частота': 1}
показателяисключаться	{'Частота': 1}
самоцитирование	{'Частота': 1}
Scopus	{'Частота': 1}
ринц	{'Частота': 1}
востребованность	{'Частота': 1}
h	{'Частота': 1}
